first_week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,total_users
0,4288,3925,3698,3756,3793,3743,3624,3440,3471,3544,3469,3248,2945,2827,2665,2521,2326,2218,2147,2108,2138,2208,2420,2532,3187,3376,3388,3381,3390,3364,3317,3416,3423,3258,3386,3433,3459,3494,3481,3579,3555,3505,2813,3224,3465,3446,3463,3455,3469,3449,3478,3461,5664
1,7455,6580,6529,6618,6461,6261,5875,5927,6141,5921,5560,4912,4726,4435,4235,3961,3649,3536,3430,3612,3709,4030,4376,5514,6105,6092,6012,6091,5987,5971,6171,6131,5797,6184,6280,6276,6317,6415,6540,6540,6415,4953,5801,6275,6199,6282,6296,6279,6224,6306,6296,0,10847
2,4706,4549,4515,4423,4254,3971,4024,4089,4014,3793,3466,3329,3174,3001,2792,2732,2563,2597,2587,2657,2914,3045,3754,3954,3959,3935,3947,3896,3910,4011,3987,3864,3996,4056,4091,4151,4177,4222,4149,4098,3330,3781,4055,4046,4070,4052,4051,4030,4020,3998,0,0,6417
3,4630,4381,4268,4110,3829,3863,3945,3838,3717,3350,3246,3121,2921,2740,2636,2524,2477,2568,2635,2882,3030,3599,3746,3735,3711,3783,3747,3736,3826,3809,3724,3803,3839,3858,3929,3948,4021,3964,3938,3240,3654,3881,3828,3858,3888,3898,3832,3862,3841,0,0,0,6123
4,5163,4943,4693,4386,4424,4467,4380,4118,3741,3584,3443,3209,3006,2916,2774,2775,2837,2925,3174,3361,4027,4296,4296,4237,4265,4210,4209,4310,4298,4092,4272,4329,4350,4383,4427,4471,4476,4414,3540,4092,4344,4296,4331,4336,4321,4310,4343,4288,0,0,0,0,6644
5,5311,4994,4572,4570,4617,4511,4255,3836,3711,3597,3408,3198,3070,2993,2960,3008,3104,3299,3528,4246,4488,4405,4409,4379,4426,4394,4458,4440,4242,4432,4511,4537,4579,4559,4625,4628,4534,3772,4256,4481,4443,4483,4499,4488,4483,4472,4490,0,0,0,0,0,6709
6,5556,4848,4858,4883,4731,4469,3973,3825,3651,3431,3248,3067,3029,2977,3042,3085,3343,3553,4282,4569,4548,4520,4552,4535,4477,4578,4580,4328,4519,4645,4659,4718,4711,4802,4797,4742,3824,4394,4606,4589,4652,4641,4593,4594,4633,4616,0,0,0,0,0,0,7295
7,6700,6555,6557,6385,6101,5714,5548,5361,5129,4846,4664,4523,4473,4531,4676,5011,5146,5898,6151,6167,6114,6170,6110,6122,6198,6200,6045,6187,6260,6358,6407,6407,6450,6420,6366,5399,6001,6289,6278,6270,6313,6259,6245,6268,6277,0,0,0,0,0,0,0,8631
8,2881,2795,2694,2487,2313,2229,2116,2016,1905,1809,1795,1762,1766,1834,1941,2040,2405,2547,2520,2527,2499,2510,2514,2530,2551,2531,2632,2693,2721,2788,2787,2821,2828,2799,2311,2586,2727,2741,2733,2750,2741,2707,2737,2718,0,0,0,0,0,0,0,0,3961
9,2676,2517,2303,2085,2000,1898,1791,1679,1610,1546,1520,1543,1590,1769,1821,2152,2326,2271,2251,2292,2258,2257,2339,2291,2297,2393,2410,2461,2524,2515,2579,2593,2570,2092,2359,2507,2478,2474,2480,2485,2476,2477,2471,0,0,0,0,0,0,0,0,0,3817
